timestamp,id,result,threshold
2022-09-08 22:56:28.821991,1,200,0.5
2022-09-08 22:56:30.410379,2,200,0.5
2022-09-08 22:56:32.016448,3,500,0.5
2022-09-08 22:56:33.636916,4,500,0.5
2022-09-08 22:56:35.229485,5,200,0.5
2022-09-08 22:56:36.814064,6,200,0.5
2022-09-08 22:56:38.411135,7,500,0.5
2022-09-08 22:56:40.040746,8,500,0.5
2022-09-08 22:56:41.643469,9,500,0.5
2022-09-08 22:56:43.230692,10,500,0.5
2022-09-08 22:56:44.841956,11,500,0.5
2022-09-08 22:56:46.434998,12,200,0.5
2022-09-08 22:56:48.039546,13,200,0.5
2022-09-08 22:56:49.630509,14,500,0.5
2022-09-08 22:56:51.266798,15,200,0.5
2022-09-08 22:56:52.875182,16,500,0.5
2022-09-08 22:56:54.497254,17,500,0.5
2022-09-08 22:56:56.108594,18,200,0.5
2022-09-08 22:56:57.737331,19,500,0.5
2022-09-08 22:56:59.373551,20,200,0.5
2022-09-08 22:57:00.970915,21,200,0.5
2022-09-08 22:57:02.586426,22,200,0.5
2022-09-08 22:57:04.180047,23,500,0.5
2022-09-08 22:57:05.768768,24,500,0.5
2022-09-08 22:57:07.386452,25,500,0.5
2022-09-08 22:57:08.992928,26,200,0.5
2022-09-08 22:57:10.618352,27,200,0.5
2022-09-08 22:57:12.253238,28,500,0.5
2022-09-08 22:57:13.892368,29,200,0.5
2022-09-08 22:57:15.497619,30,500,0.5
2022-09-08 22:57:17.104433,31,500,0.5
2022-09-08 22:57:18.702660,32,200,0.5
2022-09-08 22:57:20.311889,33,200,0.5
2022-09-08 22:57:21.919426,34,200,0.5
2022-09-08 22:57:23.535560,35,200,0.5
2022-09-08 22:57:25.140253,36,200,0.5
2022-09-08 22:57:26.761016,37,500,0.5
2022-09-08 22:57:28.372706,38,500,0.5
2022-09-08 22:57:29.965177,39,500,0.5
2022-09-08 22:57:31.585141,40,500,0.5
2022-09-08 22:57:33.217921,41,500,0.5
2022-09-08 22:57:34.823797,42,200,0.5
2022-09-08 22:57:36.445796,43,200,0.5
2022-09-08 22:57:38.079484,44,200,0.5
2022-09-08 22:57:39.667696,45,500,0.5
2022-09-08 22:57:41.273115,46,500,0.5
2022-09-08 22:57:42.895403,47,500,0.5
2022-09-08 22:57:44.504565,48,500,0.5
2022-09-08 22:57:46.125481,49,200,0.5
2022-09-08 22:57:47.760529,50,500,0.5
2022-09-08 22:57:49.396087,51,500,0.5
2022-09-08 22:57:51.000869,52,500,0.5
2022-09-08 22:57:52.623031,53,500,0.5
2022-09-08 22:57:54.220722,54,500,0.5
2022-09-08 22:57:55.807795,55,200,0.5
2022-09-08 22:57:57.399638,56,500,0.5
2022-09-08 22:57:59.003988,57,500,0.5
2022-09-08 22:58:00.598099,58,500,0.5
2022-09-08 22:58:02.207917,59,200,0.5
2022-09-08 22:58:03.819213,60,200,0.5
2022-09-08 22:58:05.416391,61,200,0.5
2022-09-08 22:58:07.026812,62,500,0.5
2022-09-08 22:58:08.643017,63,500,0.5
2022-09-08 22:58:10.237113,64,500,0.5
2022-09-08 22:58:11.853305,65,500,0.5
2022-09-08 22:58:13.445282,66,200,0.5
2022-09-08 22:58:15.062332,67,500,0.5
2022-09-08 22:58:16.681892,68,500,0.5
2022-09-08 22:58:18.272751,69,500,0.5
2022-09-08 22:58:19.866106,70,200,0.5
2022-09-08 22:58:21.471322,71,500,0.5
2022-09-08 22:58:23.072038,72,500,0.5
2022-09-08 22:58:24.707252,73,200,0.5
2022-09-08 22:58:26.328637,74,200,0.5
2022-09-08 22:58:27.922565,75,200,0.5
2022-09-08 22:58:29.516455,76,500,0.5
2022-09-08 22:58:31.118163,77,500,0.5
2022-09-08 22:58:32.726853,78,500,0.5
2022-09-08 22:58:34.337646,79,500,0.5
2022-09-08 22:58:35.932942,80,200,0.5
2022-09-08 22:58:37.551963,81,500,0.5
2022-09-08 22:58:39.175124,82,500,0.5
2022-09-08 22:58:40.796773,83,200,0.5
2022-09-08 22:58:42.406761,84,500,0.5
2022-09-08 22:58:44.000956,85,500,0.5
2022-09-08 22:58:45.636126,86,500,0.5
2022-09-08 22:58:47.238980,87,200,0.5
2022-09-08 22:58:48.830684,88,200,0.5
2022-09-08 22:58:50.435962,89,200,0.5
2022-09-08 22:58:52.057264,90,500,0.5
2022-09-08 22:58:53.677140,91,500,0.5
2022-09-08 22:58:55.286418,92,500,0.5
2022-09-08 22:58:56.906178,93,500,0.5
2022-09-08 22:58:58.515813,94,500,0.5
2022-09-08 22:59:00.159442,95,200,0.5
2022-09-08 22:59:01.790781,96,200,0.5
2022-09-08 22:59:03.383323,97,200,0.5
2022-09-08 22:59:05.017908,98,200,0.5
2022-09-08 22:59:06.621818,99,200,0.5
2022-09-08 22:59:08.233072,100,200,0.5
2022-09-08 22:59:09.843002,101,200,0.5
2022-09-08 22:59:11.461943,102,200,0.5
2022-09-08 22:59:13.080557,103,200,0.5
